id,code,name,description,price,unit,category,brand,hs_code,weight,volume,qty,spec,specs_l,specs_w,specs_h,specification,area,location,box_no,material,color,image,image_filename,image_data,remarks,tags,create_time,update_time,restaurant_brand_id,material_brand,suggested_waste_rate,excel_src_row,pic_folder,code_before_cleanup
75,HW10-GYHG-XD06-001,发夹,,6,个,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_F7295291F6FB4255A9BE96E80AC44E44"",1)",,,,,,,,,,76,前厅杂件,HW10-GYHG-XD06-001
76,HW10-GYHG-XF76-001,大垃圾桶,,,个,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_6CDE07281406420B9F803BFC4F8179C9"",1)",,,,,,,,,,77,前厅杂件,HW10-GYHG-XF76-001
77,HW10-GYHG-X330-001,橡皮筋,,15.8,包,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_455F1C0A1A41405181A4D8706DE588CD"",1)",,,,,,,,,,78,前厅杂件,HW10-GYHG-X330-001
78,HW10-GYHG-XFD6-001,圆形托盘,"直径
35cm",37.8,个,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_C02EF3C8EC0748E692EC89191D2E0F0F"",1)",,,,,,,,,,79,前厅杂件,HW10-GYHG-XFD6-001
79,HW10-GYHG-XDD7-001,湿巾夹,,15.8,个,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_4E0D5641446F4102A14B2B32BA42F7C7"",1)",,,,,,,,,,80,前厅杂件,HW10-GYHG-XDD7-001
80,HW10-GYHG-X948-001,眼镜布,,,包,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_89DAF51B07FE4BAE90670B498C1D38EE"",1)",,,,,,,,,,81,前厅杂件,HW10-GYHG-X948-001
81,HW10-GYHG-X173-001,手机套,,1.2,包,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_41FA83FBCD014B5CA884812D3E01275E"",1)",,,,,,,,,,82,前厅杂件,HW10-GYHG-X173-001
82,HW10-GYHG-X2CE-001,冰桶,,20.9,个,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_EBCF9CD61BE047BD87081CC0FEF9B52E"",1)",,,,,,,,,,83,前厅杂件,HW10-GYHG-X2CE-001
83,HW10-GYHG-X19E-001,冰桶夹,,5.8,个,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_15E9E674F4CF48129E64FA8AE8787E4E"",1)",,,,,,,,,,84,前厅杂件,HW10-GYHG-X19E-001
84,HW10-GYHG-X244-001,小垃圾桶,,17,个,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_D655BEE3C8634DDA9A3CD3FE4F2EC067"",1)",,,,,,,,,,85,前厅杂件,HW10-GYHG-X244-001
85,HW10-GYHG-X412-001,收餐框（白）,,29.7,个,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_C76CE2869A8349DF8EE1D7260AC1FBDD"",1)",,,,,,,,,,86,前厅杂件,HW10-GYHG-X412-001
86,HW10-GYHG-XC06-001,烟灰缸,,9.8,个,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_22233B09155A4F5FB6B9300F1A207B9C"",1)",,,,,,,,,,87,前厅杂件,HW10-GYHG-XC06-001
87,HW10-GYHG-X54F-001,加汤壶,2.4L,13,个,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_FDEDD616C879441B9CC107BED98B9F11"",1)",,,,,,,,,,88,前厅杂件,HW10-GYHG-X54F-001
88,HW10-GYHG-XA4D-001,加汤量杯,300ml,14.8,个,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_C8AF7F09F09F4E82A8933F4FE4557289"",1)",,,,,,,,,,89,前厅杂件,HW10-GYHG-XA4D-001
89,HW10-GYHG-X891-001,挡汤牌,品牌: 宏发,29.9,个,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_033980EF8D404B9DADDAAEDB2F9C6B07"",1)",,,,,,,,,,90,前厅杂件,HW10-GYHG-X891-001
90,HW10-GYHG-X8C2-001,桌号牌,,,个,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_8324A596824F4AB988138A4DE1DBD213"",1)",,,,,,,,,,91,前厅杂件,HW10-GYHG-X8C2-001
91,HW10-GYHG-X16C-001,留位卡,,9.9,个,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_AB441C64939D44919D35C96D1894BE06"",1)",,,,,,,,,,92,前厅杂件,HW10-GYHG-X16C-001
92,HW10-GYHG-XD6A-001,储物筐,"42*32*50cm
",260,个,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_74CE6AAC53B84A1A919F38695FDBD982"",1)",,,,,,,,,,93,前厅杂件,HW10-GYHG-XD6A-001
93,HW10-GYHG-X85B-001,婴儿椅,,98,个,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_32415E5B269B460F823FE5C09E7AFCC8"",1)",,,,,,,,,,94,前厅杂件,HW10-GYHG-X85B-001
94,HW10-GYHG-X1B4-001,婴儿餐具,,18.9,套,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_F6E21F1A78E44F188BD9385A68898142"",1)",,,,,,,,,,95,前厅杂件,HW10-GYHG-X1B4-001
